0.000, 0.00mbar, 15882.49m

0.000, 0.00mbar, 15882.49m

1717905025.228, 997.50mbar, 21.12m

1717905025.331, 997.48mbar, 21.29m

1717905025.433, 997.49mbar, 21.20m

1717905025.536, 997.46mbar, 21.46m

1717905025.638, 997.46mbar, 21.46m

1717905025.741, 997.41mbar, 21.88m

1717905025.843, 997.45mbar, 21.54m

1717905025.945, 997.41mbar, 21.88m

1717905026.047, 997.42mbar, 21.79m

1717905026.151, 997.47mbar, 21.37m

1717905026.253, 997.42mbar, 21.79m

1717905026.356, 997.44mbar, 21.63m

1717905026.460, 997.46mbar, 21.46m

1717905026.563, 997.44mbar, 21.63m

1717905026.666, 997.47mbar, 21.37m

1717905026.770, 997.42mbar, 21.79m

1717905026.872, 997.44mbar, 21.63m

1717905026.975, 997.45mbar, 21.54m

1717905027.078, 997.46mbar, 21.46m

1717905027.181, 997.46mbar, 21.46m

